,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Tiksi,RU,71.6872,128.8694,41.5,74,100,5.77,overcast clouds
1,Georgetown,MY,5.4112,100.3354,84.13,70,20,4.61,few clouds
2,Saskylakh,RU,71.9167,114.0833,63.39,52,100,9.01,overcast clouds
3,Vila Velha,BR,-20.3297,-40.2925,84.15,61,0,10.36,clear sky
4,Krasnogorsk,RU,55.8225,37.3181,87.8,51,40,11.18,light intensity shower rain
5,Nikolskoye,RU,59.7035,30.7861,82.29,27,7,9.17,clear sky
6,Bluff,NZ,-46.6,168.3333,45.45,87,93,10.6,overcast clouds
7,Vaini,TO,-21.2,-175.2,73.56,94,20,5.75,few clouds
8,Cidreira,BR,-30.1811,-50.2056,51.57,55,1,23.49,clear sky
9,Vimperk,CZ,49.0586,13.7829,76.28,58,17,11.56,few clouds
10,Rocha,UY,-34.4833,-54.3333,45.77,90,78,28.83,broken clouds
11,Lagos,NG,6.5833,3.75,84.49,64,100,9.31,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,40.66,70,75,17.27,light rain
13,New Norfolk,AU,-42.7826,147.0587,50.58,81,100,1.99,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,71.06,65,100,27.4,overcast clouds
15,Albany,US,42.6001,-73.9662,72.63,96,100,4.72,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,67.8,55,5,0.76,clear sky
17,Bure,ET,10.7,37.0667,61.92,90,96,2.01,light rain
18,Egvekinot,RU,66.3167,-179.1667,41.92,97,100,4.65,overcast clouds
19,Verkhnyaya Inta,RU,65.9811,60.3094,66.25,53,82,5.97,broken clouds
20,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,78,20,6.91,few clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,44.46,90,97,17.49,overcast clouds
22,Berlevag,NO,70.8578,29.0864,50.67,83,93,6.91,overcast clouds
23,Sri Aman,MY,1.2376,111.4621,77.07,85,47,1.61,scattered clouds
24,Kruisfontein,ZA,-34.0033,24.7314,76.89,19,0,7.83,clear sky
25,Flinders,AU,-34.5833,150.8552,51.21,73,17,1.01,few clouds
26,Kiama,AU,-34.6833,150.8667,49.44,72,13,5.01,few clouds
27,Darab,IR,28.7519,54.5444,77.38,81,100,6.35,overcast clouds
28,Pitkyaranta,RU,61.5734,31.4792,71.08,55,0,13.06,clear sky
29,Ibadan,NG,7.3878,3.8964,84.97,58,87,5.12,overcast clouds
30,Punta Arenas,CL,-53.15,-70.9167,39.31,81,90,16.11,light rain
31,Yellowknife,CA,62.456,-114.3525,51.57,76,69,3.0,broken clouds
32,Yumen,CN,40.2833,97.2,91.02,16,7,7.02,clear sky
33,Kaitangata,NZ,-46.2817,169.8464,45.23,91,99,6.96,overcast clouds
34,Meulaboh,ID,4.1363,96.1285,78.89,76,9,1.68,clear sky
35,Mataura,NZ,-46.1927,168.8643,42.46,97,84,4.14,broken clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,70.56,97,98,10.0,light rain
37,Sangar,RU,63.9242,127.4739,57.34,66,100,1.36,overcast clouds
38,Shimoda,JP,34.6667,138.95,76.1,91,3,6.13,clear sky
39,Nova Vicosa,BR,-17.8919,-39.3719,79.95,52,0,6.8,clear sky
40,Cape Town,ZA,-33.9258,18.4232,74.1,39,1,7.36,clear sky
41,Thohoyandou,ZA,-22.9456,30.485,65.5,28,6,9.53,clear sky
42,Hilo,US,19.7297,-155.09,73.26,91,75,3.44,light rain
43,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,63,0,9.44,clear sky
44,Torbay,CA,47.6666,-52.7314,75.88,68,47,10.69,scattered clouds
45,North Platte,US,41.1239,-100.7654,76.37,79,40,7.0,scattered clouds
46,Thompson,CA,55.7435,-97.8558,52.93,59,100,7.52,overcast clouds
47,Chernyshevskiy,RU,63.0128,112.4714,63.0,66,99,9.98,overcast clouds
48,Bathsheba,BB,13.2167,-59.5167,84.81,74,75,18.41,broken clouds
49,Columbus,US,39.9612,-82.9988,76.33,69,40,3.44,scattered clouds
50,Adrar,MR,20.5022,-10.0711,112.98,7,8,13.82,clear sky
51,Quatre Cocos,MU,-20.2078,57.7625,72.09,72,53,17.22,broken clouds
52,Namatanai,PG,-3.6667,152.4333,78.51,84,100,4.68,overcast clouds
53,Irshava,UA,48.3167,23.0385,93.65,41,16,2.19,few clouds
54,Katsuura,JP,35.1333,140.3,82.11,93,68,9.1,broken clouds
55,Henties Bay,NA,-22.116,14.2845,81.77,31,3,2.06,clear sky
56,Tasiilaq,GL,65.6145,-37.6368,46.56,73,100,4.79,overcast clouds
57,Ostrovnoy,RU,68.0531,39.5131,68.09,62,100,14.05,overcast clouds
58,Thinadhoo,MV,0.5333,72.9333,82.9,69,17,2.06,few clouds
59,Namangan,UZ,40.9983,71.6726,82.85,42,20,2.3,few clouds
60,Faya,SA,18.3851,42.4509,75.72,32,88,12.55,overcast clouds
61,Takaka,NZ,-40.85,172.8,50.97,87,98,5.06,overcast clouds
62,Eau Claire,US,44.8114,-91.4985,75.45,79,1,3.44,clear sky
63,Bethel,US,41.3712,-73.414,77.52,91,95,5.3,overcast clouds
64,Havre-Saint-Pierre,CA,50.2334,-63.5986,71.96,60,1,8.05,clear sky
65,Coroata,BR,-4.13,-44.1242,88.72,53,83,1.5,broken clouds
66,Nhulunbuy,AU,-12.2333,136.7667,75.81,78,5,9.22,clear sky
67,Severodvinsk,RU,64.5635,39.8302,80.71,41,71,12.57,broken clouds
68,Banovici,BA,44.4053,18.5242,71.62,88,75,4.61,broken clouds
69,Jamestown,US,42.097,-79.2353,71.19,82,1,4.61,clear sky
70,Kapaa,US,22.0752,-159.319,79.12,81,75,16.11,light rain
71,Narsaq,GL,60.9167,-46.05,53.82,99,100,8.52,light rain
72,Nishihara,JP,26.1842,127.7558,83.48,79,20,12.66,few clouds
73,Ponta Do Sol,PT,32.6667,-17.1,84.7,70,1,2.55,clear sky
74,Jumla,NP,29.2747,82.1838,64.67,95,100,0.89,overcast clouds
75,Tual,ID,-5.6667,132.75,80.08,82,99,18.72,light rain
76,Atar,MR,20.5169,-13.0499,110.28,13,11,11.03,few clouds
77,Atuona,PF,-9.8,-139.0333,77.32,75,23,28.74,few clouds
78,Khatanga,RU,71.9667,102.5,63.46,69,100,7.43,overcast clouds
79,Souillac,MU,-20.5167,57.5167,72.36,88,40,16.11,scattered clouds
80,Bredasdorp,ZA,-34.5322,20.0403,74.52,38,3,5.75,clear sky
81,Khorixas,NA,-20.3667,14.9667,80.37,21,32,13.78,scattered clouds
82,Port-Cartier,CA,50.0334,-66.8654,75.42,52,47,2.1,scattered clouds
83,Elizabeth City,US,36.2946,-76.2511,85.01,81,40,5.01,scattered clouds
