City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cidreira,BR,2021-07-12 15:36:51,-30.1811,-50.2056,66.88,65,35,9.69
1,Lebu,CL,2021-07-12 15:36:58,-37.6167,-73.65,51.04,63,0,5.14
2,Mataura,NZ,2021-07-12 15:35:58,-46.1927,168.8643,39.79,98,100,1.9
3,Bengkulu,ID,2021-07-12 15:36:12,-3.8004,102.2655,74.64,91,66,4.94
4,Lavrentiya,RU,2021-07-12 15:36:06,65.5833,-171.0,44.65,91,31,5.75
5,Bluff,NZ,2021-07-12 15:36:41,-46.6,168.3333,46.09,75,96,5.39
6,Atuona,PF,2021-07-12 15:36:21,-9.8,-139.0333,78.75,68,34,19.01
7,Saint-Augustin,CA,2021-07-12 15:36:47,51.226,-58.6502,56.61,78,100,10.51
8,Opuwo,NA,2021-07-12 15:37:48,-18.0607,13.84,76.32,18,17,6.22
9,Molteno,ZA,2021-07-12 15:37:48,-31.3968,26.3625,58.17,28,52,34.85
10,Hithadhoo,MV,2021-07-12 15:36:16,-0.6,73.0833,82.45,71,62,4.76
11,Jamestown,US,2021-07-12 15:36:36,42.097,-79.2353,78.08,93,90,4.0
12,Saskylakh,RU,2021-07-12 15:37:03,71.9167,114.0833,53.91,52,61,9.15
13,Portland,US,2021-07-12 15:32:58,45.5234,-122.6762,66.88,78,90,1.01
14,Rikitea,PF,2021-07-12 15:36:05,-23.1203,-134.9692,73.81,75,24,12.82
15,Horsham,GB,2021-07-12 15:37:49,51.064,-0.3272,70.74,80,75,6.91
16,Malakal,SS,2021-07-12 15:37:49,9.5334,31.6605,76.39,82,72,4.38
17,Albany,US,2021-07-12 15:32:58,42.6001,-73.9662,69.53,96,100,1.99
18,Ushuaia,AR,2021-07-12 15:36:06,-54.8,-68.3,35.26,87,90,8.05
19,Bredasdorp,ZA,2021-07-12 15:36:01,-34.5322,20.0403,50.29,87,100,9.22
20,Jeremie,HT,2021-07-12 15:37:50,18.65,-74.1167,86.41,63,91,8.1
21,East London,ZA,2021-07-12 15:35:59,-33.0153,27.9116,85.14,15,0,12.66
22,Karwar,IN,2021-07-12 15:37:50,14.8,74.1333,76.5,90,100,11.59
23,Kysyl-Syr,RU,2021-07-12 15:37:50,63.8986,122.7617,60.21,76,90,3.47
24,New Norfolk,AU,2021-07-12 15:36:48,-42.7826,147.0587,51.93,81,100,1.01
25,Tula,RU,2021-07-12 15:36:12,54.2044,37.6111,78.75,62,4,6.17
26,Sur,OM,2021-07-12 15:37:51,22.5667,59.5289,86.4,69,89,6.53
27,Hilo,US,2021-07-12 15:36:04,19.7297,-155.09,74.28,78,90,0.0
28,Rocha,UY,2021-07-12 15:37:51,-34.4833,-54.3333,61.5,88,100,8.9
29,Lompoc,US,2021-07-12 15:32:26,34.6391,-120.4579,80.13,89,90,0.0
30,Longyearbyen,SJ,2021-07-12 15:36:53,78.2186,15.6401,42.64,81,75,10.36
31,Thompson,CA,2021-07-12 15:36:43,55.7435,-97.8558,69.96,64,75,4.61
32,Olafsvik,IS,2021-07-12 15:37:52,64.8945,-23.7142,52.43,94,100,21.9
33,Itoman,JP,2021-07-12 15:37:29,26.1247,127.6694,84.22,86,40,6.91
34,Leh,IN,2021-07-12 15:31:45,34.1667,77.5833,65.57,42,93,6.15
35,Berdigestyakh,RU,2021-07-12 15:37:53,62.0989,126.6992,60.3,58,73,4.03
36,Carnarvon,AU,2021-07-12 15:36:11,-24.8667,113.6333,66.27,67,90,6.91
37,Guerrero Negro,MX,2021-07-12 15:36:20,27.9769,-114.0611,73.29,62,90,6.55
38,Steamboat Springs,US,2021-07-12 15:33:07,40.485,-106.8317,62.31,39,75,0.0
39,Busselton,AU,2021-07-12 15:32:22,-33.65,115.3333,56.05,80,58,29.01
40,Rolla,US,2021-07-12 15:36:08,37.9514,-91.7713,73.54,83,75,5.75
41,Vaini,TO,2021-07-12 15:36:10,-21.2,-175.2,71.76,100,40,2.3
42,Tasiilaq,GL,2021-07-12 15:36:20,65.6145,-37.6368,55.56,95,100,9.6
43,Atar,MR,2021-07-12 15:37:54,20.5169,-13.0499,105.89,17,47,3.2
44,Cap-Chat,CA,2021-07-12 15:37:54,49.1001,-66.6821,62.6,67,1,4.61
45,Sitka,US,2021-07-12 15:33:09,57.0531,-135.33,58.89,63,90,16.11
46,Punta Arenas,CL,2021-07-12 15:36:02,-53.15,-70.9167,37.42,93,75,17.27
47,Barrow,US,2021-07-12 15:35:03,71.2906,-156.7887,46.42,71,1,16.11
48,Taltal,CL,2021-07-12 15:37:55,-25.4,-70.4833,61.66,74,93,6.08
49,Ulladulla,AU,2021-07-12 15:33:21,-35.35,150.4667,49.87,64,94,8.81
50,Port Elizabeth,ZA,2021-07-12 15:36:12,-33.918,25.5701,60.1,72,20,17.27
51,Butaritari,KI,2021-07-12 15:35:58,3.0707,172.7902,82.02,78,60,13.44
52,Cape Town,ZA,2021-07-12 15:32:21,-33.9258,18.4232,54.1,63,40,7.0
53,Qaanaaq,GL,2021-07-12 15:36:02,77.484,-69.3632,42.08,61,21,5.97
54,Chuy,UY,2021-07-12 15:36:04,-33.6971,-53.4616,60.04,86,99,5.03
55,Isangel,VU,2021-07-12 15:36:36,-19.55,169.2667,71.02,91,100,12.46
56,Barquisimeto,VE,2021-07-12 15:34:01,10.0739,-69.3228,68.63,100,100,12.66
57,Paramonga,PE,2021-07-12 15:37:56,-10.6667,-77.8333,68.31,70,77,10.38
58,Tabou,CI,2021-07-12 15:37:56,4.423,-7.3528,79.97,66,45,8.19
59,Souillac,MU,2021-07-12 15:36:48,-20.5167,57.5167,71.37,88,75,18.41
60,Hermanus,ZA,2021-07-12 15:36:19,-34.4187,19.2345,50.81,66,98,23.94
61,Evanston,US,2021-07-12 15:35:52,42.0411,-87.6901,72.52,85,90,1.99
62,Port Lincoln,AU,2021-07-12 15:36:18,-34.7333,135.8667,53.53,78,100,10.27
